timeraw,date,change,elo,rank
1683652091,"Tuesday, May 9, 2023 5:08 PM",33,683,"Silver 1"
1683653761,"Tuesday, May 9, 2023 5:36 PM",22,710,"Silver 2"
1683665266,"Tuesday, May 9, 2023 8:47 PM",-12,700,"Silver 2"
1683667692,"Tuesday, May 9, 2023 9:28 PM",-18,682,"Silver 1"
1683669648,"Tuesday, May 9, 2023 10:00 PM",17,699,"Silver 1"
1683673684,"Tuesday, May 9, 2023 11:08 PM",-3,696,"Silver 1"
1683675930,"Tuesday, May 9, 2023 11:45 PM",46,842,"Silver 3"
1683677985,"Wednesday, May 10, 2023 12:19 AM",24,866,"Silver 3"
1683680660,"Wednesday, May 10, 2023 1:04 AM",17,883,"Silver 3"
1683684163,"Wednesday, May 10, 2023 2:02 AM",-22,861,"Silver 3"
1683764472,"Thursday, May 11, 2023 12:21 AM",22,883,"Silver 3"
1683768451,"Thursday, May 11, 2023 1:27 AM",-12,871,"Silver 3"
1683849096,"Thursday, May 11, 2023 11:51 PM",11,882,"Silver 3"
1683851383,"Friday, May 12, 2023 12:29 AM",-16,866,"Silver 3"
1684032524,"Sunday, May 14, 2023 2:48 AM",16,882,"Silver 3"
1684077898,"Sunday, May 14, 2023 3:24 PM",22,910,"Gold 1"
1684085897,"Sunday, May 14, 2023 5:38 PM",-19,900,"Gold 1"
1684116278,"Monday, May 15, 2023 2:04 AM",-18,882,"Silver 3"
1684118341,"Monday, May 15, 2023 2:39 AM",-26,856,"Silver 3"
1684162962,"Monday, May 15, 2023 3:02 PM",30,886,"Silver 3"
1684165744,"Monday, May 15, 2023 3:49 PM",21,910,"Gold 1"
1684260170,"Tuesday, May 16, 2023 6:02 PM",-19,900,"Gold 1"
1684904579,"Wednesday, May 24, 2023 5:02 AM",21,921,"Gold 1"
1684951607,"Wednesday, May 24, 2023 6:06 PM",-12,909,"Gold 1"
1684953827,"Wednesday, May 24, 2023 6:43 PM",-16,900,"Gold 1"
1685146802,"Saturday, May 27, 2023 12:20 AM",-14,886,"Silver 3"
1685150296,"Saturday, May 27, 2023 1:18 AM",-20,866,"Silver 3"
1685547223,"Wednesday, May 31, 2023 3:33 PM",31,897,"Silver 3"
1685571784,"Wednesday, May 31, 2023 10:23 PM",12,910,"Gold 1"
1685574424,"Wednesday, May 31, 2023 11:07 PM",23,933,"Gold 1"